REG0,REG1,REG2,REG3,REG4,REG5,REG6
255,255,0,24,238,32,85,
0,255,0,16,15,32,85,
255,0,0,20,240,32,86,
0,255,255,24,30,47,84,
255,0,0,28,241,32,84,
0,0,0,16,0,33,85,
255,0,0,24,240,32,84,
0,0,0,28,0,32,85,
0,255,0,16,31,33,84,
255,255,0,20,255,32,84,
255,0,0,24,241,32,84,
0,0,0,16,1,33,84,
0,0,0,20,0,32,84,
0,0,0,24,1,32,84,
0,255,0,28,15,33,84,
255,0,0,16,224,32,84,
0,255,0,24,15,32,84,
255,0,0,28,241,32,85,
0,0,0,16,1,32,85,
0,0,0,20,1,33,84,
0,0,0,24,1,32,85,
255,0,255,16,241,47,85,
0,0,0,20,32,32,85,
0,255,0,24,46,32,84,
0,255,0,28,29,32,84,
255,0,0,16,241,32,85,
0,255,0,24,46,32,85,
0,0,0,28,0,32,85,
0,255,0,16,14,32,85,
0,0,0,20,0,33,85,
255,0,0,24,240,32,85,
0,0,0,16,16,33,84,
0,0,0,20,0,32,84,
255,255,0,24,255,32,84,
0,0,0,28,16,34,85,
0,255,0,16,14,32,84,
0,0,0,24,2,32,86,
255,0,0,28,225,33,85,
0,0,0,16,18,32,84,
255,255,0,20,239,32,85,
0,0,0,24,16,33,85,
255,0,255,16,241,47,85,
0,0,0,20,1,32,85,
255,0,0,24,242,32,86,
255,0,0,28,240,32,85,
0,255,0,16,15,33,84,
0,0,255,24,48,47,85,
255,0,0,28,225,33,85,
255,0,255,16,224,47,85,
0,0,0,20,17,32,85,
0,255,0,24,31,32,86,
0,0,0,16,1,33,84,
0,0,0,20,16,32,85,
255,0,0,24,241,32,85,
255,255,0,28,254,32,85,
0,0,0,16,0,32,85,
255,255,0,24,239,32,84,
255,0,0,28,241,33,84,
255,255,255,16,239,47,84,
255,0,0,20,224,33,84,
0,255,0,24,15,32,84,
0,255,255,16,47,47,85,
0,0,0,20,16,32,84,
255,0,0,24,240,33,84,
255,0,0,28,242,32,85,
255,0,0,16,240,33,85,
255,255,0,24,223,33,84,
255,255,255,28,255,47,84,
255,255,0,16,255,32,85,
0,255,0,20,31,32,84,
0,255,255,24,15,47,85,
0,255,0,16,15,33,84,
255,255,0,20,255,33,84,
0,0,0,24,0,33,84,
0,0,0,28,0,33,85,
0,0,0,16,0,32,85,
0,255,0,24,14,32,85,
255,0,0,28,224,32,85,
0,255,0,16,28,32,85,
255,255,0,20,223,32,84,
255,255,0,24,254,33,84,
0,255,0,16,30,32,85,
0,0,0,20,0,32,85,
0,0,0,24,0,32,85,
0,0,0,28,0,32,85,
0,255,0,16,63,32,85,
255,255,0,24,255,32,84,
255,0,0,28,242,32,85,
255,0,0,16,240,32,85,
0,255,0,20,30,33,85,
255,0,0,24,225,32,84,
0,0,0,16,2,32,84,
0,255,0,20,15,32,85,
0,255,0,24,31,33,84,
0,255,255,28,15,47,85,
255,255,255,16,255,47,84,
0,255,0,24,13,32,84,
255,255,255,28,255,47,86,
0,0,0,16,1,33,85,
0,255,0,20,15,32,84,
255,255,0,24,255,32,84,
255,0,0,16,224,32,86,
0,255,0,20,15,32,85,
0,0,0,24,0,32,84,
255,0,0,28,240,32,85,
255,255,255,16,255,47,84,
255,255,0,24,255,32,84,
0,255,0,28,47,33,85,
0,0,0,16,16,32,85,
0,255,0,20,15,32,84,
0,255,0,24,14,32,85,
0,255,0,16,14,32,85,
255,0,0,20,192,32,85,
255,0,0,24,224,32,84,
0,255,255,28,31,46,84,
0,0,0,16,16,32,84,
0,255,0,24,15,32,85,
0,0,0,28,16,32,84,
0,0,255,16,0,47,84,
0,0,0,20,0,32,84,
0,255,255,24,15,47,84,
0,0,0,16,0,32,84,
0,0,0,20,1,33,85,
0,0,255,24,16,47,84,
0,0,0,28,32,32,85,
0,255,0,16,14,32,85,
255,255,0,24,255,32,84,
0,255,0,28,15,33,85,
255,255,0,16,239,32,85,
0,255,255,20,15,47,84,
0,0,255,24,0,46,85,
255,255,0,16,255,32,84,
0,0,0,20,16,32,84,
0,255,0,24,15,33,84,
0,255,255,28,14,47,84,
255,0,255,16,240,47,85,
255,0,0,24,240,32,85,
0,255,255,28,15,47,86,
0,0,0,16,0,32,85,
0,0,255,20,18,47,85,
0,255,0,24,15,32,85,
0,255,0,16,14,32,85,
0,0,255,20,34,47,84,
0,255,0,24,31,32,85,
0,255,0,28,13,32,85,
0,255,255,16,15,47,84,
0,255,0,24,31,32,84,
0,255,0,28,31,32,85,
0,255,255,16,46,47,85,
0,255,0,20,15,32,84,
0,255,0,24,14,33,84,
0,0,0,16,16,33,85,
255,255,0,20,238,32,85,
0,0,255,24,17,47,85,
255,0,0,28,224,33,84,
0,255,255,16,15,46,84,
255,255,0,24,253,32,85,
0,0,0,28,16,32,85,
255,0,255,16,241,47,84,
0,0,255,20,2,47,85,
0,0,0,24,16,33,85,
255,0,0,16,240,33,84,
0,255,0,20,30,32,85,
255,255,255,24,255,47,85,
255,255,255,28,252,47,85,
255,0,0,16,240,33,84,
0,255,255,24,30,47,85,
0,255,0,28,47,32,85,
0,0,0,16,32,32,84,
0,0,0,20,0,32,84,
0,255,0,24,14,32,85,
