Current,REG0,REG1,REG2,REG3,REG4,REG5,REG6
0.545,255,0,0,20,248,32,96,
0.545,255,0,0,24,250,32,95,
0.545,0,0,0,28,41,32,96,
0.545,0,0,255,16,6,47,95,
0.545,255,0,0,20,230,32,95,
0.545,0,0,255,24,28,47,94,
0.545,255,0,255,28,216,47,94,
0.545,0,0,0,16,39,32,95,
0.545,255,0,0,20,233,32,95,
0.545,255,0,0,24,218,32,95,
0.545,255,0,255,28,247,47,96,
0.545,255,0,0,16,250,33,95,
0.545,0,0,0,20,9,33,95,
0.545,0,0,0,24,7,32,95,
0.545,0,0,0,28,8,32,95,
0.545,255,0,0,16,248,32,95,
0.545,0,0,255,20,25,47,96,
0.645,0,0,0,16,24,32,95,
0.645,0,0,255,20,13,47,95,
0.645,255,0,0,24,237,32,96,
0.645,0,0,255,28,42,46,95,
0.645,255,0,255,16,234,47,96,
0.645,255,0,0,20,235,32,96,
0.645,255,0,0,24,250,32,96,
0.645,255,0,0,28,252,32,95,
0.645,0,0,0,16,11,33,95,
0.645,255,0,255,20,250,47,94,
0.645,255,0,0,24,249,32,95,
0.645,255,0,255,28,251,47,95,
0.645,255,0,0,16,236,33,95,
0.645,0,0,0,20,10,32,96,
0.645,255,0,0,24,235,32,95,
0.645,0,0,255,28,11,46,95,
0.645,0,0,255,16,26,47,96,
0.645,255,0,0,20,250,32,95,
0.645,255,0,0,24,251,32,94,
0.645,0,0,0,28,27,32,95,
0.645,255,0,0,16,252,32,96,
0.645,0,0,0,20,11,32,96,
0.645,0,0,255,24,11,47,95,
0.645,0,0,255,28,43,47,94,
0.645,0,0,0,16,10,32,95,
0.645,0,0,0,20,11,32,95,
0.645,0,0,0,24,10,33,95,
0.645,0,0,255,28,9,47,95,
0.645,0,0,255,16,12,47,95,
0.645,0,0,255,20,25,47,95,
0.645,0,0,0,24,41,32,96,
0.645,255,0,255,28,218,47,95,
0.645,255,0,0,16,251,32,95,
0.645,0,0,255,20,9,47,96,
0.645,255,0,0,24,236,32,95,
0.645,0,0,255,28,27,47,95,
0.645,255,0,0,16,250,32,95,
0.645,255,0,0,20,235,33,95,
0.645,255,0,0,24,233,32,95,
0.645,255,0,0,28,249,32,95,
0.645,255,0,0,16,202,32,96,
0.645,0,0,255,20,11,47,96,
0.645,0,0,0,24,11,33,95,
0.645,0,0,0,28,24,32,96,
0.645,0,0,0,16,27,32,96,
0.645,0,0,0,20,10,32,96,
0.645,255,0,0,24,219,32,94,
0.645,255,0,0,28,234,32,95,
0.645,0,0,255,16,27,47,96,
0.645,0,0,0,20,28,32,96,
0.745,0,0,0,16,11,32,94,
0.745,0,0,255,20,10,47,95,
0.745,0,0,0,24,11,32,95,
0.745,0,0,0,28,11,32,95,
0.745,0,0,0,16,28,32,96,
0.745,0,0,0,20,28,32,95,
0.745,0,0,255,24,44,47,95,
0.745,255,0,0,28,235,33,95,
0.745,0,0,0,16,11,32,95,
0.745,255,0,0,20,252,32,95,
0.745,255,0,0,24,204,32,94,
0.745,0,0,0,28,12,32,94,
0.745,255,0,0,16,251,32,95,
0.745,255,0,0,20,221,32,96,
0.745,0,0,0,24,27,33,94,
0.745,0,0,0,28,13,32,95,
0.745,255,0,255,16,251,47,95,
0.745,0,0,0,20,29,32,94,
0.745,0,0,0,24,13,32,95,
0.745,0,0,0,28,14,32,95,
0.745,255,0,0,16,238,32,95,
0.745,255,0,0,20,237,33,95,
0.745,0,0,0,24,12,32,96,
0.745,255,0,0,28,218,32,94,
0.745,0,0,0,16,10,33,95,
0.745,0,0,255,20,29,47,95,
0.745,0,0,255,24,12,47,95,
0.745,255,0,255,28,250,47,96,
0.745,255,0,255,16,235,47,95,
0.745,255,0,0,20,252,32,95,
0.745,255,0,0,24,236,32,96,
0.745,255,0,0,28,236,32,95,
0.745,255,0,0,16,238,32,95,
0.745,0,0,255,20,11,47,95,
0.745,0,0,255,24,28,47,94,
0.745,0,0,255,28,27,46,95,
0.745,0,0,0,16,27,32,95,
0.745,0,0,0,20,13,32,96,
0.745,255,0,255,24,237,47,95,
0.745,255,0,0,28,252,33,95,
0.745,0,0,0,16,12,32,95,
0.745,255,0,0,20,249,33,95,
0.745,0,0,0,24,29,32,96,
